"full_date","speechtitle","hyperlink","name","position_cat1","type"
1997-07-15,"Disclosure requirements for home mortgage loans","http://www.federalreserve.gov/boarddocs/testimony/1997/19970715.htm","Laurence H. Meyer","Governor","Senate"
1997-07-17,"The Financial Services Competition Act of 1997","http://www.federalreserve.gov/boarddocs/testimony/1997/19970717.htm","Alan Greenspan","Chairman","House"
1997-07-22,"The Federal Reserve's semiannual monetary policy report","http://www.federalreserve.gov/boarddocs/hh/1997/july/testimony.htm","Alan Greenspan","Chairman","House"
1997-07-23,"Appropriate monetary policy and the strong economy","http://www.federalreserve.gov/boarddocs/testimony/1997/199707232.htm","Alice M. Rivlin","Vice Chair","House"
1997-07-23,"Conduct of monetary policy","http://www.federalreserve.gov/boarddocs/testimony/1997/19970723.htm","Laurence H. Meyer","Governor","House"
1997-07-29,"The Government Performance and Results Act","http://www.federalreserve.gov/boarddocs/testimony/1997/19970729.htm","Alice M. Rivlin","Vice Chair","House"
1997-07-30,"Y2K and Federal Reserve readiness","http://www.federalreserve.gov/boarddocs/testimony/1997/19970730.htm","Edward W. Kelley Jr.","Governor","Senate"
1997-09-04,"Affordable housing","http://www.federalreserve.gov/boarddocs/speeches/1997/19970904.htm","Laurence H. Meyer","1","Public"
1997-09-05,"Rules vs. discretionary monetary policy","http://www.federalreserve.gov/boarddocs/speeches/1997/19970905.htm","Alan Greenspan","3","Public"
1997-09-12,"Education, technology, and economic growth","http://www.federalreserve.gov/boarddocs/speeches/1997/19970912.htm","Alan Greenspan","3","Public"
1997-09-12,"Monetary policy and the bond market: Complements or substitutes","http://www.federalreserve.gov/boarddocs/speeches/1997/199709122.htm","Laurence H. Meyer","1","Public"
1997-09-16,"Role of the Federal Reserve in the payment system","http://www.federalreserve.gov/boarddocs/testimony/1997/19970916.htm","Alice M. Rivlin","Vice Chair","House"
1997-09-17,"The economic outlook and challenges facing monetary policy","http://www.federalreserve.gov/boarddocs/speeches/1997/19970917.htm","Laurence H. Meyer","1","Public"
1997-09-19,"Derivatives and risk management","http://www.federalreserve.gov/boarddocs/speeches/1997/19970919.htm","Susan M. Phillips","1","Public"
1997-09-23,"The role of the Federal Reserve in the payments system","http://www.federalreserve.gov/boarddocs/speeches/1997/19970923.htm","Edward W. Kelley","1","Public"
1997-09-24,"","http://www.federalreserve.gov/boarddocs/testimony/1997/19970924.htm","Laurence H. Meyer","Governor","House"
1997-10-01,"New-design $50 notes and quality assurance","http://www.federalreserve.gov/boarddocs/testimony/1997/199710012.htm","Theodore Allison","Assistant to the Board for Federal Reserve System Affairs","House"
1997-10-01,"FASB proposals for derivatives and risk management","http://www.federalreserve.gov/boarddocs/testimony/1997/19971001.htm","Susan M. Phillips","Governor","House"
1997-10-05,"Technological change and the economy","http://www.federalreserve.gov/boarddocs/speeches/1997/19971005.htm","Alan Greenspan","3","Public"
1997-10-08,"The Federal Reserve's supervisory processes","http://www.federalreserve.gov/boarddocs/testimony/1997/199710082.htm","Susan M. Phillips","Governor","House"
1997-10-08,"Economic and budgetary outlook","http://www.federalreserve.gov/boarddocs/testimony/1997/19971008.htm","Alan Greenspan","Chairman","House"
1997-10-11,"Consumer credit and financial modernization","http://www.federalreserve.gov/boarddocs/speeches/1997/19971011.htm","Alan Greenspan","3","Public"
1997-10-14,"Globalization of finance","http://www.federalreserve.gov/boarddocs/speeches/1997/19971014.htm","Alan Greenspan","3","Public"
1997-10-14,"Globalization and U.S. monetary policy","http://www.federalreserve.gov/boarddocs/speeches/1997/199710143.htm","Laurence H. Meyer","1","Public"
